作品ID,作品名称,发布时间,链接,点赞,评论,分享
7679360889698387386,快来找我吧,2026-08-29 16:02:19 CST,https://www.iesdouyin.com/share/video/7679360889698387386/?region=US&mid=7679360805900454707&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=o4eu3q96po6UrTXgiMD.eRiDT75r5euByTfRg5AIk08-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,1745,357,14
7679198096496926650,我想一直陪着大家睡着！抱抱#七王爷,2026-08-29 05:30:37 CST,https://www.iesdouyin.com/share/video/7679198096496926650/?region=US&mid=7679198056599898930&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=Qm90QrEbBGmQvj8J6pjV_fwhKCb8oRvVQQO7nM64XRg-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,15502,5238,647
7679109771098841713,这个市场很残酷！保护好自己.#七王爷,2026-08-28 23:47:51 CST,https://www.iesdouyin.com/share/video/7679109771098841713/?region=US&mid=7679109720874978054&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=UaDH747I0geEwk4tJs95NazUNEpNqZSQwv8R47rjq58-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,6332,2449,79
7679084441012069993,下午发布的，请兑现！#七王爷,2026-08-28 22:09:34 CST,https://www.iesdouyin.com/share/video/7679084441012069993/?region=US&mid=7678546899409931046&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=wQ7M6DSYtTa_GD8iPUJjxowxK5Dkpqs4DrjB8r.S97o-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,5490,3154,353
7679048548645920122,我马上要出新歌了！哈哈哈哈哈～#七王爷  七王爷被黑粉逼成了歌手,2026-08-28 19:50:17 CST,https://www.iesdouyin.com/share/video/7679048548645920122/?region=US&mid=7679048477107636992&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=ihiCvqC1pgEQcHkTgi46chL3iqreeKVQEwJObGEedMQ-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,6675,2739,90
7679044463414912753,看你上哪抄我点位，看你上哪白嫖我还骂我！哈哈哈😂#七王爷,2026-08-28 19:34:25 CST,https://www.iesdouyin.com/share/video/7679044463414912753/?region=US&mid=7679044431856618250&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=6ulrHeOdI00Ypks5vUlzCPimiyfwtfskhJfzdAdnB0Q-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,6146,1449,48
7678725436041954225,睡了，最近都很无语……#七王爷  什么也不让说，只能在我外婆家看我了,2026-08-27 22:56:26 CST,https://www.iesdouyin.com/share/video/7678725436041954225/?region=US&mid=0&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=IkHpO.veH7IptpuoHv3jDNC7WlmO.pE_HuqQGeanhwQ-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,1804,205,8
7678688154161307557,空空空，住皇宫！我们也不怕，因为今天吃肉肉了#七王爷,2026-08-27 20:31:45 CST,https://www.iesdouyin.com/share/video/7678688154161307557/?region=US&mid=7624760293147151139&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=0b3ZZR896scxIYsVpApyCi56PHvHpdQQ8w1sVPcjc9A-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,2653,769,60
7678627433231018361,以后山有山路，水有水里！点位博主就此告一段落！ 大家各自安好！#七王爷,2026-08-27 16:36:09 CST,https://www.iesdouyin.com/share/video/7678627433231018361/?region=US&mid=7678627442080549666&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=dRYQVujbq8kQGg5QML4oiS6Ro5BATR0CyRH7FfBKCbM-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,9946,2817,272
7678524591840835237,我下午回长沙了，晚点出视频！现在拉高，大家根据我拉高的点位出货，不要贪心哦！#七王爷,2026-08-27 09:57:03 CST,https://www.iesdouyin.com/share/video/7678524591840835237/?region=US&mid=7634445174135294760&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=h5JRgOGg3z51qIKcaT5nokcDOqGqbJSqB_B4cVi8pHM-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,4617,1168,135
